filename,impact_score,tier
ultron/__init__.py,1.0000,HIGH
ultron/analyzer.py,52.3417,HIGH
ultron/blind_rate.py,58.9549,HIGH
ultron/classifier.py,80.6727,HIGH
ultron/delta.py,19.0483,HIGH
ultron/design_oracle.py,23.2717,HIGH
ultron/fuzz.py,23.2717,HIGH
ultron/governor.py,19.0483,HIGH
ultron/guard.py,18.9756,HIGH
ultron/logistic.py,12.4116,HIGH
ultron/mcp_server.py,12.0000,HIGH
ultron/meta_layer.py,21.7202,HIGH
ultron/models.py,13.6994,HIGH
ultron/pledge.py,5.2530,MEDIUM
ultron/predict.py,54.5762,HIGH
ultron/prompt.py,15.6930,HIGH
ultron/reality_delta.py,24.8231,HIGH
ultron/risk.py,97.2500,HIGH
ultron/run_academic_tests.py,6.0000,MEDIUM
ultron/run_tests.py,10.2180,HIGH
ultron/run_verification_loop.py,171.4349,HIGH
ultron/ultron.py,31.0289,HIGH
umags/checks.py,28.4634,HIGH
umags/failure_space.py,47.4390,HIGH
